Name,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
King's Gambit,e4,e5,f4,exf4,Nf3,g5,,,,,,,,,,,,,,
King's Gambit,e4,e5,f4,exf4,Nf3,,,,,,,,,,,,,,,
King's Gambit,e4,e5,f4,exf4,,,,,,,,,,,,,,,,
King's Gambit Falkbeer Counter Gambit,e4,e5,f4,d5,,,,,,,,,,,,,,,,
King's Gambit Declined,e4,e5,f4,,,,,,,,,,,,,,,,,
Giuco Piano,e4,e5,Nf3,Nc6,Bc4,Bc5,c3,Nf6,d4,exd4,,,,,,,,,,
Giuco Piano,e4,e5,Nf3,Nc6,Bc4,Bc5,c3,Nf6,,,,,,,,,,,,
Giuco Piano,e4,e5,Nf3,Nc6,Bc4,Bc5,,,,,,,,,,,,,,
Evan's Gambit,e4,e5,Nf3,Nc6,Bc4,Bc5,b4,,,,,,,,,,,,,
Two Knights Defence,e4,e5,Nf3,Nc6,Bc4,Nf6,,,,,,,,,,,,,,
Two Knights Defence,e4,e5,Nf3,Nc6,Bc4,Nf6,Ng5,d5,exd5,Na5,Bb5+,c6,dxc6,bxc6,Be2,h6,,,,
Two Knights Defence,e4,e5,Nf3,Nc6,Bc4,Nf6,Ng5,,,,,,,,,,,,,
Two Knights Defence,e4,e5,Nf3,Nc6,Bc4,Nf6,d4,exd4,O-O,,,,,,,,,,,
Two Knights Defence,e4,e5,Nf3,Nc6,Bc4,Nf6,,,,,,,,,,,,,,
Ruy Lopez,e4,e5,Nf3,Nc6,Bb5,,,,,,,,,,,,,,,
Ruy Lopez Classical Defence,e4,e5,Nf3,Nc6,Bb5,Bc5,,,,,,,,,,,,,,
Ruy Lopez Berlin Defence,e4,e5,Nf3,Nc6,Bb5,Nf6,,,,,,,,,,,,,,
Ruy Lopez Cozio Defence,e4,e5,Nf3,Nc6,Bb5,Nge7,,,,,,,,,,,,,,
Ruy Lopez Bird's Defence,e4,e5,Nf3,Nc6,Bb5,Nd4,,,,,,,,,,,,,,
Ruy Lopez Old Steinitz Defence,e4,e5,Nf3,Nc6,Bb5,d6,,,,,,,,,,,,,,
Ruy Lopez Schliemann Variation,e4,e5,Nf3,Nc6,Bb5,f5,,,,,,,,,,,,,,
Ruy Lopez Exchange Variation,e4,e5,Nf3,Nc6,Bb5,a6,Bxc6,dxc6,,,,,,,,,,,,
Ruy Lopez Modern Steinitz Defence,e4,e5,Nf3,Nc6,Bb5,a6,Ba4,a6,c3,,,,,,,,,,,
Ruy Lopez Modern Steinitz Defence,e4,e5,Nf3,Nc6,Bb5,a6,Ba4,d6,,,,,,,,,,,,
